url;titulo;categoria;data;imagem;descricao_imagem;descricao
https://www.cnnbrasil.com.br/esportes/futebol/atletico-mineiro/hulk-sera-ausencia-na-estreia-do-atletico-na-sul-americana-saiba-motivo/;"Hulk será ausência na estreia do Atlético na Sul-Americana; saiba motivo";Atlético Mineiro;07/04/2026 13:51;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/03/hulk-e1773876518279.jpg?w=419&h=249&crop=1;Foto: Pedro Souza / Atlético;"Ídolo alvinegro não estará disponível para jogo pela Sul-Americana assim como Alan Franco, Renan Lodi, Ruan e Victor Hugo
"
https://www.cnnbrasil.com.br/esportes/futebol/galvao-critica-neymar-por-fala-machista-e-da-conselho-mundo-mudou/;"Galvão critica Neymar por fala machista e dá conselho: ""Mundo mudou""";Futebol;07/04/2026 11:45;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/03/galvao-bueno-narrador-e1773323574135.jpg?w=419&h=249&crop=1;Galvão Bueno, durante o programa Galvão FC;Comunicador abordou as recentes polêmicas do camisa 10 do Santos no programa “Galvão F.C”, do SBT
https://www.cnnbrasil.com.br/esportes/futebol/corinthians/postagem-enigmatica-de-memphis-divide-torcida-do-corinthians-nas-redes/;"Postagem ""enigmática"" de Memphis divide torcida do Corinthians nas redes";Corinthians;11/04/2026 19:05;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/Captura-de-tela-2026-04-11-185358.png?w=419&h=249&crop=1;Memphis;"Foto publicada pelo atacante holandês já soma mais de cinco mil comentários
"
https://www.cnnbrasil.com.br/esportes/futebol/selecao-brasileira/no-ritmo-da-copa-leonidas-da-silva-ganha-homenagem-em-colecao-de-camisas/;No ritmo da Copa: Leônidas da Silva ganha homenagem em coleção de camisas;Seleção Brasileira;07/04/2026 11:21;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/leonidas-da-silva-colecao-camisas-3-e1775571489152.jpeg?w=419&h=249&crop=1;"Leônidas da Silva, o ""Diamante Negro"", ganhou uma homenagem com uma nova coleção de camisas às vésperas da Copa do Mundo";"Às vésperas do Mundial, ""Diamante Negro"" é referência de nova coleção"
https://www.cnnbrasil.com.br/esportes/futebol/santos/torcedores-cobram-presidente-do-santos-apos-garantia-de-divida-com-neymar/;Torcedores cobram presidente do Santos após garantia de dívida com Neymar;Santos;07/04/2026 10:55;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2025/11/marceloteixeira-santos-e1764191844445.jpeg?w=419&h=249&crop=1;Marcelo Teixeira, presidente do Santos;Membros de uma organizada tiraram satisfação com Marcelo Teixeira após aprovação das contas de 2025
https://www.cnnbrasil.com.br/esportes/futebol/corinthians/corinthians-gavioes-da-fiel-faz-novos-protestos-no-ct-e-aborda-zagueiros/;Corinthians: Gaviões da Fiel faz novos protestos no CT e aborda zagueiros;Corinthians;07/04/2026 09:27;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/protesto-corinthians-e1775564009548.jpeg?w=419&h=249&crop=1;Protesto do Gaviões da Fiel pela atual fase do Corinthians;André Ramalho, Gabriel Paulista e Gustavo Henrique foram cobrados nesta terça (7)
https://www.cnnbrasil.com.br/esportes/futebol/flamengo/libertadores-jardim-projeta-fase-de-grupos-mais-forte-do-flamengo/;"Libertadores: Jardim projeta fase de grupos ""mais forte"" do Flamengo";Flamengo;07/04/2026 08:20;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/03/JARDIM-e1775642407234.jpg?w=419&h=249&crop=1;Leonardo Jardim, técnico do Flamengo;O Rubro-Negro estreia contra o Cusco, no Peru, nesta quarta (8)
https://www.cnnbrasil.com.br/esportes/futebol/futebol-internacional/libertadores-da-america/barcelona-de-guayaquil-x-cruzeiro-horario-e-onde-assistir-a-libertadores/;Barcelona de Guayaquil x Cruzeiro: horário e onde assistir à Libertadores;Libertadores da América;07/04/2026 06:07;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2025/06/GettyImages-2213475610-e1749045439531.jpg?w=419&h=249&crop=1;Estádio Monumental Isidro Romero Carbo, casa do Barcelona-EQU;Times se enfrentam nesta terça (7), no Estádio Monumental Isidro Romero Carbo, em Guayaquil, no Equador
https://www.cnnbrasil.com.br/esportes/futebol/futebol-internacional/libertadores-da-america/la-guaira-x-fluminense-horario-e-onde-assistir-a-copa-libertadores/;La Guaira x Fluminense: horário e onde assistir à Copa Libertadores;Libertadores da América;07/04/2026 06:06;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2024/04/estadio_olimpico_ucv.png?w=419&h=249&crop=1;Estádio Olímpico de la UCV, na Venezuela;Times se enfrentam nesta terça (7), no Estádio Olímpico de la UCV, em Caracas, Venezuela
https://www.cnnbrasil.com.br/esportes/futebol/corinthians/fernando-diniz-manda-recado-loucura-maxima-no-corinthians-veja-video/;"Fernando Diniz manda recado: ""Loucura máxima"" no Corinthians; veja vídeo";Corinthians;06/04/2026 23:31;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/Diniz-no-Corinthians-e1775528526150.jpg?w=419&h=249&crop=1;Fernando Diniz com a camisa dos tempos em que atuou pelo Corinthians;Ex-treinador da Seleção Brasileira foi anunciado como novo comandante alvinegro
https://www.cnnbrasil.com.br/esportes/futebol/atletico-mineiro/filho-de-hulk-faz-primeiro-treino-com-o-time-profissional-do-atletico-mg/;Filho de Hulk faz primeiro treino com o time profissional do Atlético-MG;Atlético Mineiro;06/04/2026 22:40;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/bernard-ian-atletico-hulk.webp?w=419&h=249&crop=1;Ian ao lado de Bernard no treino do Atlético-MG;"Atacante de 17 anos foi integrado à base do Galo recentemente e não teve a companhia do pai em campo
"
https://www.cnnbrasil.com.br/esportes/futebol/santos/divida-do-santos-com-neymar-chega-a-r-905-milhoes-ct-e-garantia-juridica/;"Dívida do Santos com Neymar chega a R$ 90,5 milhões; CT é garantia jurídica";Santos;06/04/2026 21:56;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/02/neymar-santos-velo-e1771246389848.jpg?w=419&h=249&crop=1;Neymar durante o duelo entre Santos e Velo Clube;Débitos são referentes aos direitos de imagem do jogador, e foram reacertados quando o jogador renovou seu contrato
https://www.cnnbrasil.com.br/esportes/futebol/corinthians/veja-cinco-desafios-que-fernando-diniz-tera-a-frente-do-corinthians/;Veja cinco desafios que Fernando Diniz terá à frente do Corinthians;Corinthians;06/04/2026 20:56;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2023/08/GettyImages-1517362634-e1693338199976.jpg?w=419&h=249&crop=1;Brazil Announces Interim Coach Until Ancelotti Arrives;Técnico assume o clube após a saída de Dorival Júnior, demitido no último domingo (5) 
https://www.cnnbrasil.com.br/esportes/futebol/flamengo/flamengo-fica-perto-de-anunciar-renovacao-com-bruno-henrique-veja-detalhes/;"Flamengo fica perto de anunciar renovação com Bruno Henrique; veja detalhes";Flamengo;11/04/2026 17:46;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2025/08/BH_Gol.jpeg?w=419&h=249&crop=1;Bruno Henrique;Novo vínculo será até o final de 2027 e deve ser divulgado nos próximos dias
https://www.cnnbrasil.com.br/esportes/futebol/corinthians/fernando-diniz-e-anunciado-como-novo-tecnico-do-corinthians/;Fernando Diniz é anunciado como novo técnico do Corinthians;Corinthians;06/04/2026 20:53;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/diniz-anunciado-corinthians-e1775520224297.jpg?w=419&h=249&crop=1;Fernando Diniz entre Osmar Stábile, presidente do Corinthians, e Marcelo Paz, executivo de futebol do clube;Ex-treinador da Seleção Brasileira chega para assumir o lugar de Dorival Júnior
https://www.cnnbrasil.com.br/esportes/futebol/vasco-da-gama/pedrinho-diz-que-textor-e-desrespeitoso-com-o-vasco-nao-e-a-primeira-vez/;"Pedrinho diz que Textor é desrespeitoso com o Vasco: ""Não é a primeira vez""";Vasco da Gama;06/04/2026 20:08;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2025/07/pedrinho-presidente-vasco-coletiva-e1753388156966.png?w=419&h=249&crop=1;Pedrinho, presidente do Vasco, em entrevista coletiva;"Mandatário do clube Cruzmaltino falou após reunião na Confederação Brasileira de Futebol (CBF), nesta segunda-feira (6)
"
https://www.cnnbrasil.com.br/esportes/futebol/apos-problema-grave-na-data-fifa-quadro-de-james-rodriguez-e-atualizado/;"Após ""problema grave"" na Data Fifa, quadro de James Rodriguez é atualizado";Futebol;06/04/2026 19:53;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2025/09/james_rodriguez_gol-e1757035508100.jpeg?w=419&h=249&crop=1;James Rodríguez, craque da Colômbia;Estrela da Colômbia começou a ter problemas de desidratação depois de jogo pela seleção nacional
https://www.cnnbrasil.com.br/esportes/futebol/palmeiras/leila-pereira-provoca-clubes-em-evento-da-cbf-real-madrid-da-shopee/;"Leila Pereira provoca clubes em evento da CBF: ""Real Madrid da Shopee""";Palmeiras;06/04/2026 19:31;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2025/08/54708100744_4e1f24df07_h.jpg?w=419&h=249&crop=1;Leila;Mandatária esteve presente na primeira reunião da entidade sobre a Liga de Futebol Brasileiro e cobrou união entre as equipes
https://www.cnnbrasil.com.br/esportes/futebol/palmeiras/analise-abel-estabeleceu-um-parametro-muito-alto-no-futebol-brasileiro/;Análise: Abel estabeleceu um parâmetro muito alto no futebol brasileiro;Palmeiras;06/04/2026 19:12;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2025/10/abel-ferreira-palmeiras-ldu-e1761879413937.jpg?w=419&h=249&crop=1;Emocionado, Abel Ferreira agradece a torcida após classificação história do Palmeiras para a final da Libertadores;Vinícius Andrade destaca consistência e eficiência do trabalho do treinador português no Palmeiras, que desponta como favorito ao título do Brasileirão com cinco pontos de vantagem
https://www.cnnbrasil.com.br/esportes/brasileirao/analise-flamengo-pode-recuperar-mas-palmeiras-tem-vantagem-no-brasileirao/;Análise: Flamengo pode recuperar, mas Palmeiras tem vantagem no Brasileirão;Brasileirão;06/04/2026 18:56;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/02042026_cg_palmeiras_destaque_7292_25.png?w=419&h=249&crop=1;Marlon Freitas, do Palmeiras;Com desempenho dominante e consistente, equipe comandada por Abel Ferreira teve arrancada importante na tabela, enquanto rubro-negro tenta reagir sob o comando de Leonardo Jardim
https://www.cnnbrasil.com.br/esportes/futebol/palmeiras/diretor-do-palmeiras-abre-o-jogo-sobre-rescisao-com-patrocinadora/;Diretor do Palmeiras abre o jogo sobre rescisão com patrocinadora;Palmeiras;06/04/2026 18:20;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/everaldo-coelho.webp?w=419&h=249&crop=1;Everaldo Coelho, vice-presidente de marketing do Palmeiras;"Verdão anunciou nova parceria com a montadora Leapmotor, que ficará no lugar deixado pela Fictor
"
https://www.cnnbrasil.com.br/esportes/futebol/corinthians/acabou-as-ideias-diz-presidente-da-gavioes-para-jogador-do-corinthians/;"""Acabou as ideias"", diz presidente da Gaviões para jogador do Corinthians";Corinthians;06/04/2026 17:59;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/charles-e1775509005721.png?w=419&h=249&crop=1;"Imagem de destaque do post: ""Acabou as ideias"", diz presidente da Gaviões para jogador do Corinthians";Alê, presidente da maior torcida organizada do Corinthians, pressiona jogadores na saída do CT Joaquim Grava
https://www.cnnbrasil.com.br/esportes/futebol/cbf-reune-clubes-e-avanca-na-criacao-da-liga-do-futebol-no-brasil-entenda/;"CBF reúne clubes e avança na criação da Liga do Futebol no Brasil; entenda";Futebol;06/04/2026 17:49;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/reuniao_de_clubes_series_a_e_b_06_04_2026_06042026_10_cc9dba05b7-e1775508455154.jpg?w=419&h=249&crop=1;reuniao_de_clubes_series_a_e_b_06_04_2026_06042026_10_cc9dba05b7;Entidade apresentou estudos conduzidos pela atual gestão para mostrar o potencial que ainda não é explorado pelo futebol tupiniquim
https://www.cnnbrasil.com.br/esportes/futebol/corinthians/neto-se-ajoelha-e-faz-oracao-para-diniz-novo-tecnico-do-corinthians/;Neto se ajoelha e faz oração para Diniz, novo técnico do Corinthians;Corinthians;06/04/2026 17:44;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/Craque-Neto-ao-analisar-numeros-de-Fernando-Diniz.webp?w=419&h=249&crop=1;Craque Neto ao analisar números de Fernando Diniz;"Comunicador reagiu ao desempenho do treinador no Fluminense, Cruzeiro e Vasco, nesta segunda-feira (6), no programa ‘Os Donos da Bola’
"
https://www.cnnbrasil.com.br/esportes/brasileirao/remo-x-vasco-partida-tem-inicio-adiado-por-conta-de-chuva-forte-em-belem/;Remo x Vasco: partida tem início adiado por conta de chuva forte em Belém;Brasileirão;11/04/2026 16:51;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/mangueirao-belem-e1775937087403.webp?w=419&h=249&crop=1;mangueirão-belem;"Duelo foi adiado por 15 minutos, pelo menos, até o gramado ser reavaliado pela arbitragem no Mangueirão
"
https://www.cnnbrasil.com.br/esportes/futebol/corinthians/michel-bastos-descarta-corpo-mole-e-aponta-problema-no-corinthians/;"Michel Bastos descarta ""corpo mole"" e aponta problema no Corinthians";Corinthians;06/04/2026 16:44;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/03/garro-corinthians-e1774285151902.jpg?w=419&h=249&crop=1;Rodrigo Garro, jogador do Corinthians;"Ex-jogador rejeita ideia de ""corpo mole"" e afirma que elenco corintiano está tecnicamente abaixo de outros times"
https://www.cnnbrasil.com.br/esportes/futebol/santos/santos-diminui-dividas-mais-caras-e-recorre-menos-a-bancos-em-2025/;Santos diminui dívidas mais caras e recorre menos a bancos em 2025;Santos;06/04/2026 15:45;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/02/escudo_santos-e1771521804302.jpg?w=419&h=249&crop=1;Escudo do Santos;Pendências de curto prazo equivalem a 41% das receitas, valor que está de acordo com o fairplay financeiro
https://www.cnnbrasil.com.br/esportes/futebol/futebol-internacional/libertadores-da-america/conheca-o-estadio-em-que-o-cruzeiro-vai-estrear-na-libertadores-2026/;Conheça o estádio em que o Cruzeiro vai estrear na Libertadores 2026;Libertadores da América;06/04/2026 15:37;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2023/10/estadio-Monumental-de-Guayaquil-e1749044347516.jpg?w=419&h=249&crop=1;Equador e Brasil se enfrentam no estádio Monumental de Guayaquil;Time celeste encara o Barcelona-EQU nesta terça-feira (7), às 21h (de Brasília), pela rodada de abertura do Grupo D da competição continental
https://www.cnnbrasil.com.br/esportes/futebol/corinthians/enquete-fernando-diniz-nao-e-o-preferido-dos-torcedores-do-corinthians/;Enquete: Fernando Diniz não é o preferido dos torcedores do Corinthians;Corinthians;06/04/2026 15:33;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/Treinadores-Brasileirao-e1775478234474.jpg?w=419&h=249&crop=1;Diniz, Tite e Filipe Luís;"Ex-técnico de diversas equipes, como Fluminense e Vasco, é o mais próximo para comandar o Timão; porém, parcial mostra ex-Flamengo como o preferido da Fiel"
https://www.cnnbrasil.com.br/esportes/futebol/sao-paulo/escalacao-do-sao-paulo-veja-provavel-time-para-estreia-na-sul-americana/;Escalação do São Paulo: veja provável time para estreia na Sul-Americana;São Paulo (Clube);06/04/2026 15:27;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/roger-machado-sao-paulo-treino-e1775499988881.jpg?w=419&h=249&crop=1;Roger Machado durante treino do São Paulo;Tricolor realiza última atividade antes do embarque para Montevidéu, onde enfrentará o Boston River, do Uruguai
https://www.cnnbrasil.com.br/esportes/futebol/sao-paulo/sao-paulo-da-ultimato-apos-sumico-de-arboleda-entenda/;"São Paulo dá ultimato em Arboleda após sumiço; entenda";São Paulo (Clube);06/04/2026 15:22;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2025/08/arboleda-sao-paulo-campeonato-brasileiro-e1754589219652.jpg?w=419&h=249&crop=1;Arboleda em Internacional x São Paulo;Jogador foi ao Equador e não respondeu aos contatos do São Paulo
